Name,Nvel,Type,Dist,f_Dist,i,L3_6,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,Qual,Ref,L16a,L16b,S4G,EDD,SimbadName,NEDname,_RA,_DE
"NGC5033",22,5,15.7,1,66.0,110.509,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,1,"Sa96,Be87",1,1,1,0,"NGC5033","NGC5033",198.36473,36.59365
"NGC5055",28,4,9.9,2,55.0,152.922,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,1,"Ba06,Bl04",1,1,1,0,"NGC5055","NGC5055",198.95554,42.02929
"NGC5371",19,4,39.7,1,53.0,340.393,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,1,"Sa96,Be87",1,1,1,0,"NGC5371","NGC5371",208.91676,40.46177
"NGC5585",24,7,7.06,1,51.0,2.943,2.27,90.54,1.53,297.05,1.683,10.92,90.3,1,"Bl99,Sa96,Co91",1,1,1,0,"NGC5585","NGC5585",214.95085,56.72905
"NGC5907",19,5,17.3,2,88.0,175.425,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,1,"Sa96,SA87",1,0,1,0,"NGC5907","NGC5907",228.9737,56.32885
"NGC5985",33,3,39.7,1,60.0,208.728,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,1,"Bl04,Br92",0,1,1,0,"NGC5985","NGC5985",234.90454,59.33195
"NGC6015",44,6,17.0,1,60.0,32.129,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,2,"VM97",1,1,1,0,"NGC6015","NGC6015",237.85513,62.31003
"NGC6195",23,3,127.8,1,62.0,391.076,9.52,686.8,13.94,174.11,20.907,40.89,251.7,1,"SG06",1,1,0,0,"NGC6195","NGC6195",249.13555,39.028
"NGC6503",31,6,6.26,2,74.0,12.845,1.62,774.16,2.16,398.87,1.744,14.05,116.3,1,"Be91,Be87",1,1,1,0,"NGC6503","NGC6503",267.36047,70.14434
"NGC6674",15,3,51.2,1,54.0,214.654,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,1,"Sa96,Br92",1,1,0,0,"NGC6674","NGC6674",279.6412,25.37511
"NGC6789",4,11,3.52,2,43.0,0.1,0.52,59.27,0.31,319.76,0.017,0.97,0.0,2,"Le14",0,1,0,0,"NGC6789","NGC6789",289.17154,63.97331
"NGC6946",58,6,5.52,2,38.0,66.173,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,1,"Bo08",1,1,0,0,"NGC6946","NGC6946",308.71805,60.15368
"NGC7331",36,3,14.7,3,75.0,250.631,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,1,"Be91,Be87",1,1,0,0,"NGC7331","NGC7331",339.26709,34.41592
"NGC7793",46,7,3.61,2,47.0,7.05,2.19,233.79,1.21,1068.64,0.861,7.35,0.0,1,"Di08,Sa96,CP90",0,1,1,1,"NGC7793","NGC7793",359.45761,-32.59103
"NGC7814",18,2,14.4,2,90.0,74.529,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,1,"Fr11",1,0,1,0,"NGC7814","NGC7814",0.81228,16.14523
"PGC51017",6,11,13.6,2,66.0,0.155,1.28,15.03,0.53,93.94,0.201,4.29,18.6,3,"Le14",0,0,0,0,"PGC51017","PGC51017",214.25733,43.50372
"UGC00128",22,8,64.5,1,57.0,12.02,9.63,20.36,5.95,88.89,7.431,31.27,129.3,1,"VB99,VH93",1,1,0,0,"UGC00128","UGC00128",3.46221,35.9935
"UGC00191",9,9,17.1,1,45.0,2.004,2.5,50.21,1.58,207.41,1.343,10.03,0.0,1,"KN08,vZ97",1,1,1,0,"UGC00191","UGC00191",5.0215,10.87931
"UGC00634",4,9,30.9,1,37.0,2.989,4.26,26.11,2.45,126.13,3.663,16.78,0.0,2,"vZ97",1,1,1,0,"UGC00634","UGC00634",15.35488,7.62599
"UGC00731",12,10,12.5,1,57.0,0.323,1.4,25.63,2.3,82.57,1.807,11.57,73.3,1,"Sw09,Sw02",1,1,0,0,"UGC00731","UGC00731",17.68333,49.60219
