GalaxyName,M*[Msun],Reff[kpc],fDM(Reff)
J124033.75+463642.9,3095979526.270065,3.24,0.5625416410132555
J124259.32+422933.3,14668715314.942303,5.5,0.6556010543252954
J124545.40+525703.3,1670790818.5314445,2.49,0.3224496181426132
J124752.98-011109.0,11778773755.872908,4.12,0.4315242924240789
J125715.15-003927.5,9246174384.025839,1.83,0.0420120228810865
J125854.64-005821.8,31611134311.098602,2.83,0.46725340615455957
J130004.72+002710.6,4379293776.995524,1.28,-0.09726143850702824
J130140.37+081438.4,11056663184.618025,3.92,0.5658560848478598
J131159.58+432016.1,7822401082.6634445,2.64,0.3500544319074188
J132907.51+411708.8,6831091145.106525,3.58,0.564862878638858
J133151.00+551439.8,8337466079.545579,3.92,0.4016833830030394
J133839.73+003245.0,1905110102.5131924,2.66,0.7122065130854912
J134158.85+021844.5,1695423037.3056035,1.48,0.20831982695454143
J135946.01+010432.8,41082425846.95782,5.87,0.6616609289567483
J140525.26-004840.8,49720796825.46344,5.25,0.6657636265057989
J141026.83-004956.5,23392146761.177155,1.41,-0.39460493779285233
J141057.69+010208.6,17540423708.66728,2.12,0.13476180685987293
J141628.95-004437.9,36707776605.29456,6.19,0.622392792013741
J142201.78+442055.4,8393403082.014236,4.9,0.1607436786316106
J142729.64+010321.0,2295218733.91643,2.32,0.6490792182567349
J142932.44+384011.2,4731535250.977271,3.67,0.7180074943647132
J143117.96+472951.3,12812092928.689196,2.56,0.2868729564812205
J143842.98-000027.8,26935688441.323627,3.09,0.1906429392543962
J144307.78+010600.0,13290890501.312819,2.92,0.35724109485880035
J144503.29+003137.1,10840968437.867235,4.67,0.7080484444096192
J144658.64+122350.2,10453941850.504953,3.32,0.33000072588625573
J145025.03-011026.5,51081551548.247986,5.55,0.5067181982388301
J150546.87-004253.7,16141953058.534998,5.06,0.6638700953584762
J151434.51+394534.5,8937130098.276566,3.17,0.2438389229278543
J151846.71+260257.0,16123973660.262272,3.85,0.10755028074419373
J152137.86+002757.6,16708908471.144836,3.45,0.13432708001750532
J152759.57+281722.3,2386954167.158951,2.67,0.7366793139121027
J153045.15-002211.5,28105808317.264668,3.39,0.33287796706422035
J153207.76+421301.1,10210995387.859592,3.16,0.5364199124951683
J153253.50+453316.2,15016270398.122097,2.66,0.39248109678359416
J153433.37+410755.8,7443275261.397978,5.45,0.7350894777790545
J153540.81+261910.0,16903711816.703878,4.98,0.67988435991463
J154014.28+505339.5,18403061608.684654,7.3,0.7928870438342596
J154159.23+281425.2,8080013381.649536,4.02,0.43176677012954856
J155452.42+475250.9,1834526882.0526547,2.08,0.4640488414064957
J162300.43+455207.9,597747928.8976709,2.94,0.8588344350993444
J163809.04+420517.6,4679032696.820734,2.72,0.34353300063854486
J170006.00+231440.3,18999145995.99609,3.88,0.6155199541252553
J170055.65+325621.9,36531884847.014725,4.24,0.39583230694509397
J170310.42+653417.3,894981545.0116917,2.67,0.674928137439679
J170450.40+595647.4,28614099304.532497,2.86,0.577472377700707
