PlateIFU,MaNGAID,M*[Msun],Reff[kpc],fDM(Reff)
8144-12702,1-120955,21498716857.84853,6.654,0.758
9182-6103,1-72325,218972002493.24478,6.519,0.069
8997-6103,1-149384,31947789186.79357,2.685,0.007
8940-1901,1-217928,22815646007.626404,2.152,0.011
9031-3701,1-209786,188892115274.06073,4.512,0.008
8153-6103,1-582516,178668565276.6811,6.558,0.026
7964-12702,1-179139,127572498134.99625,8.014,0.037
9871-3702,1-321932,18344028649.554626,2.338,0.12
9497-12701,1-229567,44514348341.97275,6.19,0.29
9085-6104,1-178526,35743429522.44561,3.003,0.018
9182-6104,1-72350,60326593162.88125,3.56,0.355
9508-12705,1-298798,24600197851.011223,4.011,0.01
8982-3702,1-457813,31638997196.14307,2.071,0.064
8982-3701,1-457523,244736790296.1788,8.026,0.098
8940-12705,1-229888,13898477553.026306,4.325,0.737
8993-12702,1-277300,270017449040.3339,12.795,0.005
7964-6104,1-179351,175968851692.41675,7.134,0.042
9869-12703,1-634089,108157923312.19615,7.266,0.003
8727-9101,1-51660,124067865339.35098,5.103,0.067
8985-12702,1-415939,169924797091.40356,7.975,0.291
8331-1902,1-250603,22650824753.098618,5.35,0.547
9487-1901,1-44625,89265725699.73131,3.39,0.068
9047-12703,1-269638,162698013369.74075,9.73,0.161
9506-9101,1-385972,213417137231.21182,13.386,0.002
8940-9101,1-163959,140698089399.084,8.423,0.019
8944-12702,1-390282,22038995691.53655,4.884,0.002
7958-3703,1-177250,44351419060.21302,3.074,0.025
8940-3703,1-218243,82364419141.23941,11.833,0.123
9512-9101,1-605753,19859517371.123047,3.572,0.038
9485-12705,1-153627,78461580112.80171,4.622,0.136
8999-9101,1-173626,8834230773.654776,1.476,0.088
9095-12705,1-376608,15830155100.195108,5.927,0.761
8322-12705,1-575232,213520948499.4712,10.676,0.127
8984-1901,1-395547,53846335149.31814,1.679,0.07
9024-9102,1-314386,168409877517.73575,11.564,0.072
8311-3704,1-519429,79422680439.76009,4.183,0.069
8985-9102,1-416039,60766666116.035805,9.892,0.269
8144-9102,1-152666,28566629357.641514,3.75,0.76
9501-9102,1-385547,29976220866.225937,4.772,0.044
8936-9102,1-152777,68097236833.61308,4.833,0.14
9863-3703,1-456704,42562655899.12297,2.571,0.278
9050-1901,1-295212,177018684907.55194,3.702,0.061
9488-3702,1-384124,12844744796.904024,2.119,0.035
8443-12703,1-422823,148160648414.22296,10.975,0.091
9883-12703,1-177034,141593924798.95538,8.966,0.044
10216-12702,1-412128,26365554529.74758,4.369,0.042
10216-3704,1-382355,55613684657.65186,2.899,0.022
10518-1901,1-182525,44013152845.46793,2.037,0.182
11745-12705,1-585221,209521835481.9555,7.927,0.195
12092-6104,1-40410,115253947738.97688,5.692,0.002
10837-12703,1-79751,171449435684.8299,13.122,0.033
8336-6103,1-260663,293642754977.04675,7.953,0.0
8337-3704,1-261574,98931143746.3841,4.189,0.218
8337-6102,1-313385,92316897352.49855,3.674,0.155
8337-6104,1-313322,39101827007.69149,2.683,0.049
12067-1902,1-26436,67627546237.89207,7.579,0.015
11956-3703,1-151695,218758370642.65155,13.736,0.005
11980-12702,1-270684,49683739953.11812,6.703,0.002
10215-3703,1-122138,31125015759.516834,2.626,0.004
10215-12704,1-605093,53630457281.2358,7.77,0.681
8438-12705,1-474825,24072956995.332333,4.522,0.653
10503-1901,1-79976,29194210828.980316,1.885,0.058
