GalaxyName,M*[Msun],Reff[kpc],fDM(Reff),ErrorfDM,QualityFlag
UGC06923,1445000000.0,1.66,0.3226655956764739,0.18158728452308234,2.0
UGC06930,4466000000.0,4.38,0.745116493570392,0.037618817446291586,1.0
UGC06973,26935000000.0,1.61,0.0,0.0,3.0
UGC06983,2649000000.0,3.95,0.7862852987133534,0.025104556979565568,1.0
UGC07089,1792500000.0,3.9,0.5475717571895212,0.0730794481745701,2.0
UGC07125,1356000000.0,3.92,0.542247777211618,0.053760440023365025,1.0
UGC07151,1142000000.0,2.17,0.6794290331025439,0.0199029808569237,1.0
UGC07232,56500000.0,0.46,0.514625733186852,0.11690120853783344,2.0
UGC07261,876500000.0,2.66,0.693447951723813,0.05265899659600767,2.0
UGC07323,2054500000.0,3.26,0.5919227910881404,0.05036079240879844,1.0
UGC07399,578000000.0,1.27,0.8355933335841697,0.014930108331589306,1.0
UGC07524,1218000000.0,3.61,0.8121007375151138,0.01809257308139847,1.0
UGC07559,54500000.0,0.98,0.526495222413161,0.15967980087495626,2.0
UGC07577,22500000.0,0.77,0.028966579044482438,0.6840078267313413,2.0
UGC07603,188000000.0,0.85,0.6444425471450794,0.05717094492559573,1.0
UGC07608,132000000.0,1.6,0.8907561337960748,0.03771269036196827,1.0
UGC07690,429000000.0,0.86,0.5481693493673738,0.07811723868808526,2.0
UGC07866,62000000.0,0.95,0.6980544867888423,0.10590111721303894,2.0
UGC08286,627500000.0,2.25,0.8408956495138344,0.008911099775547479,1.0
UGC08490,508499999.99999994,1.14,0.7119231061370902,0.033986295650372714,1.0
UGC08550,144500000.0,1.01,0.7917555456855536,0.02577987234667194,1.0
UGC08699,25151000000.0,1.91,0.2321118867928549,0.02381863458805601,2.0
UGC08837,250500000.0,2.25,0.45981226545914833,0.07847603590326951,2.0
UGC09037,34307000000.000004,5.69,0.10426764435666844,0.0642324811790628,2.0
UGC09133,141463000000.0,5.92,0.1708719582177635,0.08524658147661981,1.0
UGC09992,168000000.0,1.62,0.6051722070894702,0.14207634923281323,2.0
UGC10310,870500000.0,3.12,0.7838442410891606,0.03451796253493512,1.0
UGC11455,187161000000.0,10.06,0.2840744503954784,0.0382703564890974,1.0
UGC11557,6050500000.0,4.18,0.09145742756584255,0.22521020133537653,2.0
UGC11820,485000000.0,2.74,0.8314998424666341,0.03626352078073636,1.0
UGC11914,75014000000.0,3.12,0.292805833128216,0.061802895944163216,1.0
UGC12506,69785500000.0,12.36,0.7264588388726511,0.026563025158414078,2.0
UGC12632,650500000.0,3.94,0.8493378249293322,0.016079828700269437,1.0
UGC12732,833500000.0,3.12,0.8432983000646673,0.022343290888734844,1.0
UGCA281,97000000.0,1.57,0.0,0.0,3.0
UGCA442,70000000.0,1.71,0.7166306437237012,0.029675024160675252,1.0
